source_id,destination_id,source,destination,delay_ratio,breach_rate,trip_count,route_type,median_distance
IND424304AAC,IND424006AAA,Sakri_DhuleRoad_D (Maharashtra),Dhule_MIDCAvdn_I (Maharashtra),10.0,1.0,2,FTL,56.7526
IND741201AAC,IND712311AAA,Ranaghat_ArickDPP_D (West Bengal),Kolkata_Dankuni_HB (West Bengal),10.0,1.0,1,FTL,80.1623
IND842003AAB,IND482002AAA,Jabalpur_Adhartal_IP (Madhya Pradesh),Jabalpur (Madhya Pradesh),10.0,1.0,2,Carting,11.25275
IND208012AAA,IND209304AAA,Kanpur_Central_D_7 (Uttar Pradesh),Kanpur_Central_H_6 (Uttar Pradesh),10.0,0.95,20,Carting,9.92775
IND208017AAA,IND209304AAA,Kanpur_Central_D_5 (Uttar Pradesh),Kanpur_Central_H_6 (Uttar Pradesh),10.0,0.9,10,Carting,12.94135
IND788713AAA,IND788026AAC,Karimganj_Alngjuri_D (Assam),Silchar_Sirikona_H (Assam),10.0,1.0,1,FTL,43.217
IND425409AAA,IND424006AAA,Shahada_Nandrbar_D (Maharashtra),Dhule_MIDCAvdn_I (Maharashtra),10.0,1.0,1,FTL,94.5602
IND395001AAA,IND395023AAD,Surat_Central_D_9 (Gujarat),Surat_Central_I_4 (Gujarat),10.0,1.0,9,Carting,14.4435
IND751002AAB,IND754103AAA,Bhubaneshwar_Hub (Orissa),Jagatsghpr_Markndpr_D (Orissa),10.0,1.0,9,FTL,33.9792
IND743270AAA,IND712311AAA,Helencha_ColnyDPP_D (West Bengal),Kolkata_Dankuni_HB (West Bengal),10.0,1.0,1,FTL,99.4823
IND302026AAA,IND302014AAB,Jaipur_Bhankrot_DC (Rajasthan),Jaipur_Central_I_7 (Rajasthan),10.0,1.0,2,Carting,22.155250000000002
IND424201AAA,IND424006AAA,Pachora_PcrrdDPP_D (Maharashtra),Dhule_MIDCAvdn_I (Maharashtra),10.0,1.0,1,Carting,85.721
IND482002AAA,IND842003AAB,Jabalpur (Madhya Pradesh),Jabalpur_Adhartal_IP (Madhya Pradesh),10.0,1.0,2,Carting,11.65375
IND844505AAB,IND842001AAA,HazratJandaha_HajiprRD_D (Bihar),Muzaffrpur_Bbganj_I (Bihar),10.0,1.0,11,FTL,73.7507
IND785634AAA,IND785001AAA,Mariani_Mainroad_D (Assam),Jorhat_RicMilRd_D (Assam),10.0,1.0,3,Carting,19.7611
IND847223AAA,IND842001AAA,Benipatti_WardNo1_D (Bihar),Muzaffrpur_Bbganj_I (Bihar),10.0,1.0,11,FTL,85.8712
IND785112AAC,IND785001AAA,Teok_Wardno3_D (Assam),Jorhat_RicMilRd_D (Assam),10.0,1.0,2,Carting,28.300199999999997
IND395009AAA,IND395023AAD,Surat_Central_D_12 (Gujarat),Surat_Central_I_4 (Gujarat),9.96875,1.0,12,Carting,14.991
IND395006AAA,IND395023AAD,Surat_Varachha_DC (Gujarat),Surat_Central_I_4 (Gujarat),9.733333333333333,1.0,3,Carting,14.9404
IND400072AAI,IND000000AFS,Mumbai_Chndivli_D (Maharashtra),Mumbai_Skynet_INT (Maharashtra),9.416666666666666,1.0,1,Carting,14.7276
IND521165AAA,IND521225AAB,Vuyyuru_BhogdDPP_D (Andhra Pradesh),Vijayawada_Rynapadu_H (Andhra Pradesh),9.3,1.0,1,FTL,35.6563
IND400072AAJ,IND400037AAA,Mumbai_Tejpal_I (Maharashtra),Mumbai Antop Hill (Maharashtra),9.0,1.0,2,Carting,13.96195
IND531001AAA,IND530012AAA,Anakapalle_Kothuru_D (Andhra Pradesh),Visakhapatnam_Gajuwaka_IP (Andhra Pradesh),8.636363636363637,1.0,1,Carting,24.742099999999997
IND221010AAB,IND233001AAA,Varanasi_MahmurGj_IP (Uttar Pradesh),Ghazipur_Kaithwal_D (Uttar Pradesh),8.477272727272727,1.0,8,FTL,24.1389
IND425405AAA,IND424006AAA,Shirpur_KrantiNgr_D (Maharashtra),Dhule_MIDCAvdn_I (Maharashtra),8.447368421052632,1.0,12,FTL,50.27595
IND721102AAA,IND712311AAA,Midnapore_Talkui_D (West Bengal),Kolkata_Dankuni_HB (West Bengal),8.24731182795699,1.0,11,FTL,125.2333
IND249201AAA,IND249407AAA,Rishikesh_DC (Uttarakhand),Haridwar (Uttarakhand),8.166666666666668,1.0,12,FTL,21.9481
IND207123AAA,IND202001AAB,Kasganj_BnkrGate_D (Uttar Pradesh),Aligarh_KhirByps_I (Uttar Pradesh),8.098039215686274,1.0,1,FTL,70.0116
IND671315AAA,IND575004AAB,Kanhangad_Arangadi_D (Kerala),Mangalore_Kuntikna_H (Karnataka),8.01923076923077,1.0,2,FTL,80.5539
IND523201AAA,IND523002AAA,Addanki_Oilmilrd_D (Andhra Pradesh),Ongole_SubhVRTL_I (Andhra Pradesh),7.3125,1.0,1,FTL,37.6072
IND562125AAA,IND000000ACS,Bengaluru_Sarjapur_D (Karnataka),BLR_HSR_Layout_PC (Karnataka),7.125,1.0,1,Carting,16.7946
IND390022AAA,IND390020AAA,Vadodara_Karelibaug_DPC (Gujarat),Vadodara (Gujarat),6.8,1.0,1,Carting,13.4591
IND462021AAA,IND462001AAA,Bhopal_Indrapri_DC (Madhya Pradesh),Bhopal_Old City (Madhya Pradesh),6.7272727272727275,1.0,1,Carting,11.7024
