source_center,destination_center,route_type,median_delay_ratio,sla_breach_rate,trip_count,median_distance,median_actual_time,median_osrm_time
IND000000ACB,IND562132AAA,FTL,1.5,0.8033573141486811,3336,27.06185,31.0,20.0
IND562132AAA,IND000000ACB,FTL,1.4705882352941178,0.8102930127723517,2662,26.8463,32.0,20.0
IND000000ACB,IND712311AAA,FTL,1.6428571428571428,0.895552223888056,2001,24.4227,29.0,17.0
IND000000ACB,IND421302AAG,FTL,1.6470588235294117,0.8922955974842768,1272,27.08115,33.0,20.0
IND000000ACB,IND501359AAE,FTL,1.6111111111111112,0.820186598812553,1179,26.9591,32.0,20.0
IND421302AAG,IND000000ACB,FTL,1.7142857142857142,0.9134701159678859,1121,26.6265,34.0,19.0
IND781018AAB,IND110037AAM,FTL,1.75,0.8865336658354115,802,29.18045,37.0,21.0
IND421302AAG,IND562132AAA,FTL,1.5294117647058822,0.8856416772554002,787,24.6255,29.0,18.0
IND000000ACB,IND411033AAA,FTL,1.5,0.7352555701179554,763,25.4948,29.0,19.0
IND000000ACB,IND751002AAB,FTL,1.5,0.7901907356948229,734,28.744300000000003,35.0,21.0
IND421302AAG,IND110037AAM,FTL,1.6666666666666667,0.8718309859154929,710,26.553800000000003,34.0,19.5
IND000000ACB,IND600056AAB,FTL,1.619047619047619,0.8550932568149211,697,26.6625,32.0,19.0
IND411033AAA,IND000000ACB,FTL,1.5,0.7297297297297297,666,26.066300000000002,30.0,19.0
IND562132AAA,IND751002AAB,FTL,1.75,0.9555895865237366,653,26.0733,34.0,18.0
IND395023AAA,IND562132AAA,FTL,1.5,0.8369230769230769,650,25.3159,30.0,20.0
IND131028AAB,IND000000ACB,Carting,0.9333333333333333,0.3682588597842835,649,14.8661,17.0,20.0
IND421302AAG,IND131028AAB,FTL,1.625,0.9053627760252366,634,26.3316,32.0,19.0
IND854326AAB,IND000000ACB,FTL,1.56,0.8146911519198664,599,27.2475,31.0,19.0
IND000000ACB,IND131028AAB,Carting,1.0,0.4421768707482993,588,15.12265,19.0,20.0
IND160002AAC,IND000000ACB,FTL,1.7391304347826086,0.964041095890411,584,25.1324,36.0,19.0
IND110037AAM,IND421302AAG,FTL,1.6153846153846154,0.8640429338103757,559,27.2757,33.0,20.0
IND395023AAA,IND110037AAM,FTL,1.6,0.8853046594982079,558,25.4573,30.0,18.0
IND712311AAA,IND000000ACB,FTL,1.625,0.7728119180633147,537,25.2035,29.0,18.0
IND000000ACB,IND821115AAB,FTL,1.7647058823529411,0.8800773694390716,517,24.812900000000003,32.0,18.0
IND751002AAB,IND562132AAA,FTL,1.7647058823529411,0.9197530864197531,486,25.432299999999998,35.0,18.0
IND562132AAA,IND302014AAA,FTL,1.619047619047619,0.822680412371134,485,26.7807,33.0,19.0
IND421302AAG,IND501359AAE,FTL,1.7647058823529411,0.8336842105263158,475,26.1819,34.0,19.0
IND000000ACB,IND160002AAC,FTL,1.8,0.9481641468682506,463,25.1921,35.0,18.0
IND411033AAA,IND421302AAG,FTL,1.3666666666666667,0.7184684684684685,444,29.67955,35.0,26.0
IND000000ACB,IND842001AAA,FTL,1.623310810810811,0.8954545454545455,440,25.946550000000002,30.0,18.0
IND000000ACB,IND382430AAB,FTL,1.5909090909090908,0.9038901601830663,437,25.791400000000003,35.0,18.0
IND209304AAA,IND000000ACB,FTL,1.625,0.7995337995337995,429,25.159,32.0,18.0
IND000000ACB,IND834002AAB,FTL,1.5294117647058822,0.8423645320197044,406,26.951999999999998,30.0,19.0
IND560099AAB,IND560300AAA,Carting,1.5217391304347827,0.6839506172839506,405,11.9587,20.0,12.0
IND562132AAA,IND560300AAA,Carting,1.5,0.7519181585677749,391,11.6821,20.0,13.0
IND712311AAA,IND751002AAB,FTL,1.5909090909090908,0.8191214470284238,387,27.964,31.0,20.0
IND834002AAB,IND000000ACB,FTL,1.6095238095238096,0.776595744680851,376,25.51185,30.0,18.0
IND751002AAB,IND712311AAA,FTL,1.7647058823529411,0.926829268292683,369,24.8979,31.0,18.0
IND382430AAB,IND000000ACB,FTL,1.6277056277056277,0.9021739130434783,368,25.971049999999998,35.0,18.0
IND421302AAG,IND411033AAA,FTL,1.68,0.856338028169014,355,26.6442,39.0,24.0
IND110044AAB,IND000000ACB,Carting,1.4545454545454546,0.717948717948718,351,11.0371,15.0,10.0
IND825409AAA,IND000000ACB,FTL,1.6,0.829971181556196,347,25.2851,30.0,18.0
IND411033AAA,IND521225AAB,FTL,1.65,0.8123167155425219,341,26.0672,32.0,19.0
